Id,SalePrice
1461,102626.64736773775
1462,116769.62346079834
1463,134170.15988748774
1464,144786.03781501393
1465,167457.54584981393
1466,139824.0843884506
1467,134856.18824324253
1468,137597.77427209806
1469,145428.59802636947
1470,97500.47602566617
1471,143359.62204637693
1472,86428.96272009135
1473,82879.88047260714
1474,115359.61497391871
1475,108778.30255837562
1476,273463.96402240865
1477,192781.3087577735
1478,238411.1683898096
1479,229216.67778894491
1480,321598.6987525327
1481,205975.61996511032
1482,167238.04974597803
1483,139661.38184425826
1484,133539.9102946019
1485,146815.43575492478
1486,157784.2991209674
1487,270463.34429117426
1488,184505.77323795925
1489,161169.23254977277
1490,167505.05112958912
1491,152485.80624880848
1492,91759.53656028313
1493,137011.00365406528
1494,224266.2768603408
1495,216227.30238179912
1496,167288.75056254742
1497,148798.50723512494
1498,136731.15039823495
1499,131780.96045718947
1500,124369.53105588416
1501,134267.75330209773
1502,136640.27214918972
1503,202178.5431335467
1504,185634.29632696108
1505,170150.05885021188
1506,135996.6460908714
1507,167825.38339685684
1508,148128.97064198795
1509,116597.37341077399
1510,108769.68692241526
1511,113132.33394887885
1512,125212.19044309133
1513,122833.37431152228
1514,113659.9836937078
1515,144798.93239042335
1516,120811.16309094848
1517,132528.4833024969
1518,110073.820626467
1519,160656.14221077316
1520,104009.83549367297
1521,99806.81977978988
1522,133789.58069429224
1523,92627.3527435078
1524,95116.31236610675
1525,98155.08000588638
1526,101488.198949897
1527,96807.25374810661
1528,115742.84942388537
1529,111738.09284390994
1530,127165.41747589772
1531,93006.97247811574
1532,83840.1980538561
1533,102359.03348517173
1534,97853.98130991468
1535,114134.8579066791
1536,89663.90255619897
1537,71222.42977175828
1538,122149.56372132059
1539,128637.51379744292
1540,81667.28433316422
1541,106543.65335888285
1542,114295.86143339028
1543,144674.16493300346
1544,79884.67928094238
1545,97172.01506728545
1546,113155.16636345253
1547,104853.50407298561
1548,103447.53108607467
1549,102931.37285297016
1550,102533.18162692114
1551,91481.45366976866
1552,99182.29141805698
1553,99704.61486532875
1554,101822.97426913759
1555,143883.14714253123
1556,103587.13362440545
1557,86536.18538187208
1558,95689.25200077402
1559,63167.21432553406
1560,109691.96991884171
1561,95317.60626149579
1562,114333.88926921326
1563,101720.99378615807
1564,120457.33735873799
1565,120366.99994045401
1566,176403.12682653437
1567,77965.4963203344
1568,172539.0848207648
1569,95520.06168551727
1570,117160.0575610669
1571,100723.69680519655
1572,104283.20335013657
1573,172575.16425878785
1574,105680.33162912074
1575,156553.83435898816
1576,163229.6457599108
1577,153074.1149135764
1578,108376.66110683724
1579,117052.96260274877
1580,158554.49608381328
